restaurant name,street address,city/state/ZIP,source URL(s),boundary-verification method/evidence,Sports Likelihood,brief factual sports rationale
Alex's Royal Grill,2495 Livernois Road,"Troy, MI 48083",https://www.alexsroyalgrill.com/ | https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_26_unsd.zip,"Esri geocode score 100.0 at 42.557810, -83.148824; Census TIGER/Line 2025 UNSD GEOID 2634260; polygon covers point.",Low,Official site presents a family restaurant/grill; it makes no dedicated sports-viewing claim.
Alibi of Troy,6700 Rochester Road,"Troy, MI 48085",http://alibioftroy.com/restaurant_pizza_troy_michigan.html | https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_26_unsd.zip,"Esri geocode score 100.0 at 42.618692, -83.129534; Census TIGER/Line 2025 UNSD GEOID 2634260; polygon covers point.",Medium,"Official site identifies a dine-in restaurant and pizzeria; group dining is plausible, but no dedicated sports-viewing claim is made."
Ashoka Indian Cuisine,3642 Rochester Road,"Troy, MI 48083",http://ashokaindiancuisine.com/ | https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_26_unsd.zip,"Esri geocode score 100.0 at 42.571782, -83.126990; Census TIGER/Line 2025 UNSD GEOID 2634260; polygon covers point.",Low,Official site presents an Indian restaurant; it makes no sports-viewing claim.
Burger King,950 East Big Beaver Road,"Troy, MI 48083",https://www.bk.com/store-locator/store/restaurant_992 | https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_26_unsd.zip,"Esri geocode score 100.0 at 42.562266, -83.129722; Census TIGER/Line 2025 UNSD GEOID 2634260; polygon covers point.",Low,"Official location page identifies a quick-service burger restaurant, not a sports-viewing venue."
Camp Ticonderoga,5725 Rochester Road,"Troy, MI 48085",https://campticonderoga.com/contact | https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_26_unsd.zip,"Esri geocode score 100.0 at 42.602725, -83.130181; Census TIGER/Line 2025 UNSD GEOID 2634260; polygon covers point.",Medium,"Official site presents a full-service lodge-style restaurant; that format can support group viewing, but it makes no dedicated sports claim."
Cedar Grille,5377 Crooks Road,"Troy, MI 48098",https://www.cedargrille.com/ | https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_26_unsd.zip,"Esri geocode score 100.0 at 42.596553, -83.169727; Census TIGER/Line 2025 UNSD GEOID 2634260; polygon covers point.",Low,Official site presents a Lebanese restaurant; it makes no sports-viewing claim.
Chipotle Mexican Grill,3129 Crooks Road,"Troy, MI 48084",https://locations.chipotle.com/mi/troy/3129-crooks-rd | https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_26_unsd.zip,"Esri geocode score 100.0 at 42.563530, -83.168234; Census TIGER/Line 2025 UNSD GEOID 2634260; polygon covers point.",Low,"Official location page identifies a fast-casual restaurant, not a sports-viewing venue."
Chipotle Mexican Grill,5322 Crooks Road,"Troy, MI 48098",https://locations.chipotle.com/mi/troy/5322-crooks-rd | https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_26_unsd.zip,"Esri geocode score 100.0 at 42.595499, -83.167912; Census TIGER/Line 2025 UNSD GEOID 2634260; polygon covers point.",Low,"Official location page identifies a fast-casual restaurant, not a sports-viewing venue."
Condado Tacos,724 West Big Beaver Road,"Troy, MI 48084",https://locations.condadotacos.com/mi/724-west-big-beaver-rd. | https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_26_unsd.zip,"Esri geocode score 100.0 at 42.562447, -83.163538; Census TIGER/Line 2025 UNSD GEOID 2634260; polygon covers point.",Medium,"Official location page presents a full-service taco and margarita concept; it is group-oriented, though the page makes no dedicated sports claim."
Cooper's Hawk Winery & Restaurant,151 East Big Beaver Road,"Troy, MI 48083",https://chwinery.com/locations/michigan/troy-mi | https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_26_unsd.zip,"Esri geocode score 100.0 at 42.563033, -83.144707; Census TIGER/Line 2025 UNSD GEOID 2634260; polygon covers point.",Low,Official location page emphasizes restaurant and winery service rather than sports viewing.
Dairy Queen Grill & Chill,2879 West Maple Road,"Troy, MI 48084",https://www.dairyqueen.com/locations/mi/troy/2879-w-maple-rd/11589 | https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_26_unsd.zip,"Esri geocode score 100.0 at 42.546773, -83.184582; Census TIGER/Line 2025 UNSD GEOID 2634260; polygon covers point.",Low,"Official location page identifies a quick-service Grill & Chill restaurant, not a sports-viewing venue."
